Date,Value
1952,67.4
1952,42.4
1952,10.4
1952,37
1952,1.8
1952,0
1952,0
1952,0
1952,0.2
1952,0.1
1952,24
1952,60.7
1953,39.6
1953,68.4
1953,43.9
1953,21.7
1953,2.9
1953,0
1953,0
1953,0
1953,0
1953,3.8
1953,58.9
1953,55.5
1954,30.1
1954,54.4
1954,69.9
1954,33.7
1954,1.8
1954,0
1954,0
1954,0
1954,0
1954,1.4
1954,101.9
1954,94.9
1955,41.4
1955,8.2
1955,44.5
1955,16.6
1955,5.2
1955,0
1955,0
1955,0
1955,0
1955,0.5
1955,20.2
1955,60.4
1956,38.8
1956,30.1
1956,21.1
1956,26.8
1956,1.5
1956,0
1956,0
1956,0
1956,0
1956,1.3
1956,3.6
1956,63.6
1957,45.6
1957,49.1
1957,36.9
1957,47.7
1957,16.6
1957,0
1957,0
1957,0
1957,0
1957,7
1957,64.6
1957,19.6
1958,50.9
1958,3.8
1958,16.3
1958,4.2
1958,4.9
1958,0
1958,0
1958,0
1958,0
1958,3
1958,22.4
1958,94.4
1959,53.9
1959,30.7
1959,20.1
1959,16.3
1959,8.8
1959,0
1959,0
1959,0
1959,0
1959,2.8
1959,23.7
1959,34.1
1960,45.4
1960,18.3
1960,32.8
1960,19.3
1960,1.8
1960,0
1960,0
1960,0
1960,0
1960,1.4
1960,25.7
1960,28.2
1961,118.8
1961,39.5
1961,51.3
1961,51.8
1961,2.2
1961,0
1961,0
1961,0
1961,0
1961,0.1
1961,40.6
1961,34.9
1962,57.1
1962,23.9
1962,7.6
1962,58
1962,0.9
1962,0
1962,0
1962,0
1962,0
1962,0.5
1962,29.7
1962,44.7
1963,24.2
1963,44.9
1963,8.8
1963,34.4
1963,27.8
1963,0
1963,0
1963,0
1963,0
1963,0.5
1963,16.9
1963,39.7
1964,16.2
1964,24.7
1964,13.1
1964,3.9
1964,0.3
1964,0
1964,0
1964,0
1964,0
1964,0.1
1964,12
1964,47.9
1965,129.8
1965,6.6
1965,26.4
1965,16.2
1965,3.1
1965,0
1965,0
1965,0
1965,0.1
1965,19.8
1965,27.1
1965,4.3
1966,42.8
1966,75.6
1966,28.6
1966,13.3
1966,1.5
1966,0
1966,0
1966,0
1966,0.4
1966,14.5
1966,0.4
1966,15.8
1967,28.1
1967,65.4
1967,8.5
1967,12.4
1967,24.5
1967,0
1967,0
1967,0
1967,0
1967,3.5
1967,97.6
1967,17.1
1968,26.4
1968,36.3
1968,23.2
1968,48.7
1968,14.9
1968,0
1968,0
1968,0
1968,0
1968,5.8
1968,43.4
1968,52.5
1969,125.4
1969,35.1
1969,29.8
1969,71.5
1969,18.6
1969,0
1969,0
1969,0
1969,0
1969,14
1969,28
1969,22.1
1970,118.7
1970,14.5
1970,24.7
1970,15.9
1970,7.9
1970,0
1970,0
1970,0
1970,0
1970,2.7
1970,10.3
1970,55.2
1971,27
1971,43.1
1971,33.9
1971,60.5
1971,5.9
1971,0
1971,0
1971,0
1971,0
1971,0.9
1971,51.4
1971,44.2
1972,103.7
1972,23
1972,96.1
1972,49.6
1972,7.8
1972,0
1972,0
1972,0
1972,0
1972,0.3
1972,42.1
1972,57.6
1973,21.6
1973,29
1973,8.7
1973,8
1973,0.4
1973,0
1973,0
1973,0
1973,0.1
1973,0.1
1973,5
1973,59
1974,142.7
1974,69.4
1974,53.9
1974,18.8
1974,1.2
1974,0
1974,0
1974,0
1974,0.1
1974,1.7
1974,8.4
1974,98.1
1975,75.9
1975,51.7
1975,10.8
1975,48.9
1975,13.5
1975,0
1975,0
1975,0
1975,0.3
1975,0.1
1975,16.1
1975,114.1
1976,89.6
1976,66.4
1976,54.2
1976,45.9
1976,11.1
1976,0
1976,0
1976,0
1976,0
1976,6.7
1976,2
1976,61
1977,75.3
1977,7.7
1977,31.8
1977,14.6
1977,5.8
1977,0
1977,0
1977,0
1977,0
1977,17.7
1977,24.2
1977,104
1978,62
1978,24.3
1978,48.1
1978,3.3
1978,1.5
1978,0
1978,0
1978,0
1978,0
1978,0.2
1978,19.3
1978,64
1979,93
1979,10.1
1979,18.9
1979,1.1
1979,9.9
1979,0
1979,0
1979,0
1979,0
1979,17.4
1979,5.8
1979,98.7
1980,54.3
1980,130.4
1980,34.8
1980,8.4
1980,2.8
1980,0
1980,0
1980,0
1980,0
1980,0.2
1980,24.7
1980,70.2
1981,76.9
1981,67.9
1981,32.5
1981,6.2
1981,3.3
1981,0
1981,0
1981,0
1981,0
1981,9.7
1981,19.6
1981,28.1
1982,94.4
1982,55.9
1982,43.6
1982,14.9
1982,12.6
1982,0
1982,0
1982,0
1982,0.2
1982,20.8
1982,49
1982,43
1983,63.6
1983,22.9
1983,33.3
1983,22.7
1983,12.2
1983,0
1983,0
1983,0
1983,0
1983,0.1
1983,15.9
1983,32.4
1984,40
1984,5
1984,61.6
1984,7.8
1984,4.3
1984,0
1984,0
1984,0
1984,0
1984,1.2
1984,85.9
1984,38.3
1985,49.4
1985,19.4
1985,16
1985,16.5
